size,n_proc,average_time
1000,1,0.006994
2000,1,0.029776
3000,1,0.069494
4000,1,0.142513
5000,1,0.314055
6000,1,0.492644
7000,1,0.829821
8000,1,1.295072
9000,1,1.519313
10000,1,1.999050
1000,2,0.008072
2000,2,0.038499
3000,2,0.085892
4000,2,0.158447
5000,2,0.351064
6000,2,0.557642
7000,2,0.796263
8000,2,1.347241
9000,2,1.623984
10000,2,1.899659
1000,4,0.005441
2000,4,0.023232
3000,4,0.054256
4000,4,0.125039
5000,4,0.232332
6000,4,0.368886
7000,4,0.564057
8000,4,0.832749
9000,4,1.072658
10000,4,1.384143
1000,8,0.005337
2000,8,0.024711
3000,8,0.062456
4000,8,0.106632
5000,8,0.161158
6000,8,0.226339
7000,8,0.401135
8000,8,0.551395
9000,8,0.834030
10000,8,0.996295
1000,16,0.006973
2000,16,0.031875
3000,16,0.071271
4000,16,0.122687
5000,16,0.215713
6000,16,0.307007
7000,16,0.423485
8000,16,0.576124
9000,16,0.761617
10000,16,0.999043
1000,32,0.011291
2000,32,0.048615
3000,32,0.097752
4000,32,0.177356
5000,32,0.291653
6000,32,0.404970
7000,32,0.552219
8000,32,0.735889
9000,32,1.000458
10000,32,1.218787
1000,64,0.009747
2000,64,0.026825
3000,64,0.056339
4000,64,0.100568
5000,64,0.157377
6000,64,0.222228
7000,64,0.322667
8000,64,0.409688
9000,64,0.546557
10000,64,0.731948
